Offer Code,Offer Name,Offer Description,Offer Status,Offer Type,Activity,PL Account,BS Account,Budget Name,Offer Creation Date,Offer Approval Date,Offer Start Date Active,Offer End Date Active,Fiscal Qtr Start,Fiscal Qtr End,Owner Name,Owner Mgr Name,Created By,Activity Executed,Email Format,Mail Sent Flag,Email Sent Time,External Email,Customer Communication Lag,Days taken for Commitment to Customer,PR Number,PO Number,Offer Currency Code,Committed Amt,Committed Amt At Creation,Earned Amt,Paid Amt,Budget Category,Budget Currency Code,BC Committed Amt,BC Committed Amt At Creation,BC Earned Amt,BC Paid Amt,USD Committed Amt,Committed Amount at Commitment USD,USD Earned Amt,USD Paid Amt,Operating Unit,Account Type,Beneficiary Type,Account Number,Account Name,Logitech Account ID,Site Use ID,Country Desc,Cluster Desc,Market Desc,Sub Region Desc,Region Desc,Parent Code,Reason Code for Terms Change,Notes to approver on changes,Start Date On Approval Flag,Reason Code For Late Entry,Notes For Late Entry
AMR04250154STO,TD SYNNEX PREMIER PARTNER_FY26Q1,TD SYNNEX PREMIER PARTNER_FY26Q1,ACTIVE,LOGI Sell Through/PLA Offers,Sell Through Allowance - PLA,30015,11563,FY26Q1-FY26Q4 - NAM USCAN PLA Budget,2025-04-08,2025-04-11,2025-04-13,2025-06-27,Q1-26,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","Du, Cathy Bich-Thi",N,Detail,Y,2025-04-11 15:35:54,"jason.ison@tdsynnex.com,logitech@tdsynnex.com,joiem@tdsynnex.com,Jennifer.Ryerson@tdsynnex.com,karen.babb@tdsynnex.com,lometer@logitech.com,biddesk@logitechsales.com,rcook1@logitech.com",,0.0,,,USD,999000.0,999000.0,37154.8,,Sell Through Allowance - PLA,USD,999000.0,999000.0,37154.8,,999000.0,999000.0,37154.8,,North America OU,T1,T2,38266,TD SYNNEX CORPORATION,A10978669,103887.0,United States,United States Cluster,United States Markets,North America Region,America,,,,N,,
AMR04250176STO,INGRAM MICRO PREMIER PARTNER FY26Q1,"INGRAM MICRO PREMIER PARTNER FY26Q1 ",ACTIVE,LOGI Sell Through/PLA Offers,Sell Through Allowance - PLA,30015,11563,FY26Q1-FY26Q4 - NAM USCAN PLA Budget,2025-04-09,2025-04-09,2025-04-13,2025-06-27,Q1-26,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","Du, Cathy Bich-Thi",N,Detail,Y,2025-04-09 19:04:11,"LogitechTeam@ingrammicro.com,robert.hagerson@ingrammicro.com,biddesk@logitechsales.com,rbarbosa@logitech.com,lometer@logitech.com",,0.0,,,USD,100000.0,100000.0,29686.04,,Sell Through Allowance - PLA,USD,100000.0,100000.0,29686.04,,100000.0,100000.0,29686.04,,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,N,,
AMR04250179STO,TD SYNNEX ELITE PARTNER_FY26Q1,"TD SYNNEX ELITE PARTNER_FY26Q1 ",ACTIVE,LOGI Sell Through/PLA Offers,Sell Through Allowance - PLA,30015,11563,FY26Q1-FY26Q4 - NAM USCAN PLA Budget,2025-04-09,2025-04-11,2025-04-13,2025-06-27,Q1-26,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","Du, Cathy Bich-Thi",N,Detail,Y,2025-04-11 15:35:54,"jason.ison@tdsynnex.com,logitech@tdsynnex.com,joiem@tdsynnex.com,Jennifer.Ryerson@tdsynnex.com,karen.babb@tdsynnex.com,lometer@logitech.com,biddesk@logitechsales.com,rcook1@logitech.com",,0.0,,,USD,999000.0,999000.0,9244.85,,Sell Through Allowance - PLA,USD,999000.0,999000.0,9244.85,,999000.0,999000.0,9244.85,,North America OU,T1,T2,38266,TD SYNNEX CORPORATION,A10978669,103887.0,United States,United States Cluster,United States Markets,North America Region,America,,,,N,,
AMR04250212STO,TD SYNNEX PREMIER + SPECIALIZATION PARTNER_FY26Q1,"TD SYNNEX PREMIER + SPECIALIZATION PARTNER_FY26Q1 ",ACTIVE,LOGI Sell Through/PLA Offers,Sell Through Allowance - PLA,30015,11563,FY26Q1-FY26Q4 - NAM USCAN PLA Budget,2025-04-09,2025-04-11,2025-04-13,2025-06-27,Q1-26,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","Du, Cathy Bich-Thi",N,Detail,Y,2025-04-11 15:35:54,"jason.ison@tdsynnex.com,logitech@tdsynnex.com,joiem@tdsynnex.com,Jennifer.Ryerson@tdsynnex.com,karen.babb@tdsynnex.com,lometer@logitech.com,biddesk@logitechsales.com,rcook1@logitech.com",,0.0,,,USD,999000.0,999000.0,10559.7,,Sell Through Allowance - PLA,USD,999000.0,999000.0,10559.7,,999000.0,999000.0,10559.7,,North America OU,T1,T2,38266,TD SYNNEX CORPORATION,A10978669,103887.0,United States,United States Cluster,United States Markets,North America Region,America,,,,N,,
AMR04250225STO,INGRAM MICRO PRINCIPAL PARTNER_FY26Q1,"INGRAM MICRO PRINCIPAL PARTNER_FY26Q1 ",ACTIVE,LOGI Sell Through/PLA Offers,Sell Through Allowance - PLA,30015,11563,FY26Q1-FY26Q4 - NAM USCAN PLA Budget,2025-04-09,2025-04-11,2025-04-13,2025-06-27,Q1-26,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","Du, Cathy Bich-Thi",N,Detail,Y,2025-04-11 15:35:54,"LogitechTeam@ingrammicro.com,robert.hagerson@ingrammicro.com,biddesk@logitechsales.com,rbarbosa@logitech.com,lometer@logitech.com",,0.0,,,USD,999000.0,999000.0,1327582.18,530.57,Sell Through Allowance - PLA,USD,999000.0,999000.0,1327582.18,530.57,999000.0,999000.0,1327582.18,530.57,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,N,,
AMR04250232STO,TD SYNNEX ELITE + SPECIALIZATION PARTNER_FY26Q1,"TD SYNNEX ELITE + SPECIALIZATION PARTNER_FY26Q1 ",ACTIVE,LOGI Sell Through/PLA Offers,Sell Through Allowance - PLA,30015,11563,FY26Q1-FY26Q4 - NAM USCAN PLA Budget,2025-04-09,2025-04-11,2025-04-13,2025-06-27,Q1-26,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","Du, Cathy Bich-Thi",N,Detail,Y,2025-04-11 15:35:54,"jason.ison@tdsynnex.com,logitech@tdsynnex.com,joiem@tdsynnex.com,Jennifer.Ryerson@tdsynnex.com,karen.babb@tdsynnex.com,lometer@logitech.com,biddesk@logitechsales.com,rcook1@logitech.com",,0.0,,,USD,999000.0,999000.0,30055.87,,Sell Through Allowance - PLA,USD,999000.0,999000.0,30055.87,,999000.0,999000.0,30055.87,,North America OU,T1,T2,38266,TD SYNNEX CORPORATION,A10978669,103887.0,United States,United States Cluster,United States Markets,North America Region,America,,,,N,,
AMR04250271STO,INGRAM MICRO ELITE + SPECIALIZATION PARTNER_FY26Q1,"INGRAM MICRO ELITE + SPECIALIZATION PARTNER_FY26Q1 ",ACTIVE,LOGI Sell Through/PLA Offers,Sell Through Allowance - PLA,30015,11563,FY26Q1-FY26Q4 - NAM USCAN PLA Budget,2025-04-09,2025-04-11,2025-04-13,2025-06-27,Q1-26,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","Du, Cathy Bich-Thi",N,Detail,Y,2025-04-11 15:04:53,"LogitechTeam@ingrammicro.com,robert.hagerson@ingrammicro.com,biddesk@logitechsales.com,rbarbosa@logitech.com,lometer@logitech.com",,0.0,,,USD,999000.0,999000.0,44761.79,9687.9,Sell Through Allowance - PLA,USD,999000.0,999000.0,44761.79,9687.9,999000.0,999000.0,44761.79,9687.9,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,N,,
AMR04250298STO,INGRAM MICRO PRINCIPAL + SPECIALIZATION PARTNER_FY26Q1,"INGRAM MICRO PRINCIPAL + SPECIALIZATION PARTNER_FY26Q1 ",ACTIVE,LOGI Sell Through/PLA Offers,Sell Through Allowance - PLA,30015,11563,FY26Q1-FY26Q4 - NAM USCAN PLA Budget,2025-04-09,2025-04-11,2025-04-13,2025-06-27,Q1-26,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","Du, Cathy Bich-Thi",N,Detail,Y,2025-04-11 15:04:53,"LogitechTeam@ingrammicro.com,robert.hagerson@ingrammicro.com,biddesk@logitechsales.com,rbarbosa@logitech.com,lometer@logitech.com",,0.0,,,USD,999000.0,999000.0,95171.1,,Sell Through Allowance - PLA,USD,999000.0,999000.0,95171.1,,999000.0,999000.0,95171.1,,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,N,,
AMR04250321STO,INGRAM MICRO EDU-OEM-OSS PARTNER_FY26Q1,"INGRAM MICRO EDU-OEM-OSS PARTNER_FY26Q1 ",ACTIVE,LOGI Sell Through/PLA Offers,Sell Through Allowance - PLA,30015,11563,FY26Q1-FY26Q4 - NAM USCAN PLA Budget,2025-04-09,2025-04-22,2025-04-13,2025-06-27,Q1-26,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","Du, Cathy Bich-Thi",N,Detail,Y,2025-04-22 22:05:02,"LogitechTeam@ingrammicro.com,robert.hagerson@ingrammicro.com,biddesk@logitechsales.com,rbarbosa@logitech.com,lometer@logitech.com",,0.0,,,USD,100000.0,100000.0,112558.9,,Sell Through Allowance - PLA,USD,100000.0,100000.0,112558.9,,100000.0,100000.0,112558.9,,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,N,,
AMR04250417STO,TD SYNNEX_BEST BUY B2B_VC_FY26Q1,TD SYNNEX_BEST BUY B2B_VC_FY26Q1,ACTIVE,LOGI Sell Through/PLA Offers,Sell Through Allowance - PLA,30015,11563,FY26Q1-FY26Q4 - NAM USCAN PLA Budget,2025-04-14,2025-04-15,2025-04-13,2025-06-27,Q1-26,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","Du, Cathy Bich-Thi",N,Detail,Y,2025-04-15 20:08:17,"jason.ison@tdsynnex.com,logitech@tdsynnex.com,joiem@tdsynnex.com,jennifer.ryerson@tdsynnex.com,karen.babb@tdsynnex.com,lometer@logitech.com,biddesk@logitechsales.com,rcook1@logitech.com",,0.0,,,USD,200000.0,200000.0,1501.52,,Sell Through Allowance - PLA,USD,200000.0,200000.0,1501.52,,200000.0,200000.0,1501.52,,North America OU,T1,T2,38266,TD SYNNEX CORPORATION,A10978669,103887.0,United States,United States Cluster,United States Markets,North America Region,America,,,,N,Other,other
AMR04250502SSA,BR DR Renewal AMR01250212SSA,AMR01250212SSA BR Renewal Matching Landed STP NOT RENEWABLE OR EXTENDABLE WITHOUT APPROVAL,ACTIVE,Special Pricing Ship From Stock Accrual,Indirect SPR - Pricing Grid Deal Registration,30403,11561,FY26Q1 to FY26Q3- NAM USCAN Deal Reg. Budget (4-13-2025 One Time Exception),2025-04-09,,2025-04-13,2025-05-25,Q1-26,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","Stokes, Daniel",N,Detail,Y,2025-04-09 15:26:23,"logitechteam@ingrammicro.com,rbarbosa@logitech.com,robert.hagerson@ingrammicro.com,lometer@logitech.com",,,,,USD,4848.08,4848.08,718.46,,Sell Through Allowance - Promo,USD,4848.08,4848.08,718.46,,4848.08,4848.08,718.46,,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,,,
AMR04250546SSA,BR DR Renewal AMR01250703SSA,AMR01250703SSA BR Renewal Matching Landed STP NOT RENEWABLE OR EXTENDABLE WITHOUT APPROVAL,ACTIVE,Special Pricing Ship From Stock Accrual,Indirect SPR - Pricing Grid Deal Registration,30403,11561,FY26Q1 to FY26Q3- NAM USCAN Deal Reg. Budget (4-13-2025 One Time Exception),2025-04-09,,2025-04-13,2025-07-15,Q1-26,Q2-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","Stokes, Daniel",N,Detail,Y,2025-04-09 15:26:23,"logitechteam@ingrammicro.com,rbarbosa@logitech.com,robert.hagerson@ingrammicro.com,lometer@logitech.com",,,,,USD,13634.0,13634.0,485.64,,Sell Through Allowance - Promo,USD,13634.0,13634.0,485.64,,13634.0,13634.0,485.64,,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,,,
AMR04250737SSA,BR DR Renewal AMR02250396SSA,AMR02250396SSA BR Renewal Matching Landed STP NOT RENEWABLE OR EXTENDABLE WITHOUT APPROVAL,ACTIVE,Special Pricing Ship From Stock Accrual,Indirect SPR - Pricing Grid Deal Registration,30403,11561,FY26Q1 to FY26Q3- NAM USCAN Deal Reg. Budget (4-13-2025 One Time Exception),2025-04-09,,2025-04-13,2025-04-24,Q1-26,Q1-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","Stokes, Daniel",N,Detail,Y,2025-04-09 16:30:03,"logitechteam@ingrammicro.com,rbarbosa@logitech.com,robert.hagerson@ingrammicro.com,lometer@logitech.com",,,,,USD,12884.9,12884.9,679.63,,Sell Through Allowance - Promo,USD,12884.9,12884.9,679.63,,12884.9,12884.9,679.63,,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,,,
AMR04250796SSA,BR DR Renewal AMR02250833SSA,AMR02250833SSA BR Renewal Matching Landed STP NOT RENEWABLE OR EXTENDABLE WITHOUT APPROVAL,ACTIVE,Special Pricing Ship From Stock Accrual,Indirect SPR - Pricing Grid Deal Registration,30403,11561,FY26Q1 to FY26Q3- NAM USCAN Deal Reg. Budget (4-13-2025 One Time Exception),2025-04-09,,2025-04-13,2025-07-24,Q1-26,Q2-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","Stokes, Daniel",N,Detail,Y,2025-04-09 16:30:03,"logitechteam@ingrammicro.com,rbarbosa@logitech.com,robert.hagerson@ingrammicro.com,lometer@logitech.com",,,,,USD,213041.65,213041.65,1078.23,,Sell Through Allowance - Promo,USD,213041.65,213041.65,1078.23,,213041.65,213041.65,1078.23,,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,,,
AMR04250819SSA,BR DR Renewal AMR02251019SSA,AMR02251019SSA BR Renewal Matching Landed STP NOT RENEWABLE OR EXTENDABLE WITHOUT APPROVAL,ACTIVE,Special Pricing Ship From Stock Accrual,Indirect SPR - Pricing Grid Deal Registration,30403,11561,FY26Q1 to FY26Q3- NAM USCAN Deal Reg. Budget (4-13-2025 One Time Exception),2025-04-09,,2025-04-13,2025-08-18,Q1-26,Q2-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","Stokes, Daniel",N,Detail,Y,2025-04-09 16:30:03,"logitechteam@ingrammicro.com,rbarbosa@logitech.com,robert.hagerson@ingrammicro.com,lometer@logitech.com",,,,,USD,51589.05,51589.05,2072.9,,Sell Through Allowance - Promo,USD,51589.05,51589.05,2072.9,,51589.05,51589.05,2072.9,,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,,,
AMR04250822SSA,BR DR Renewal AMR02251031SSA,AMR02251031SSA BR Renewal Matching Landed STP NOT RENEWABLE OR EXTENDABLE WITHOUT APPROVAL,ACTIVE,Special Pricing Ship From Stock Accrual,Indirect SPR - Pricing Grid Deal Registration,30403,11561,FY26Q1 to FY26Q3- NAM USCAN Deal Reg. Budget (4-13-2025 One Time Exception),2025-04-09,,2025-04-13,2025-08-18,Q1-26,Q2-26,"MARKETSTARB2B, MARKETSTARB2B","Keel, Joshua Kenneth","Stokes, Daniel",N,Detail,Y,2025-04-09 16:30:03,"logitechteam@ingrammicro.com,rbarbosa@logitech.com,robert.hagerson@ingrammicro.com,lometer@logitech.com",,,,,USD,148061.17,148061.17,243.36,,Sell Through Allowance - Promo,USD,148061.17,148061.17,243.36,,148061.17,148061.17,243.36,,North America OU,T1,T2,1255,INGRAM MICRO,A11664275,103691.0,United States,United States Cluster,United States Markets,North America Region,America,,,,,,
